Date,High,Low,Open,Close,Volume,Adj Close
2021-12-31,173.27999877929688,171.89999389648438,172.0500030517578,172.13999938964844,131400,172.13999938964844
2022-01-03,174.61000061035156,172.1699981689453,172.35000610351562,173.80999755859375,157900,173.80999755859375
2022-01-04,176.11000061035156,171.44000244140625,174.27999877929688,174.55999755859375,186600,174.55999755859375
2022-01-05,176.6300048828125,169.32000732421875,174.07000732421875,169.47999572753906,146900,169.47999572753906
2022-01-06,170.75,167.11000061035156,169.19000244140625,167.24000549316406,248800,167.24000549316406
2022-01-07,167.41000366210938,161.24000549316406,166.41000366210938,162.61000061035156,251600,162.61000061035156
2022-01-10,164.4600067138672,157.1199951171875,161.42999267578125,164.33999633789062,273800,164.33999633789062
2022-01-11,167.74000549316406,162.7100067138672,164.57000732421875,167.6999969482422,185600,167.6999969482422
2022-01-12,170.60000610351562,165.3699951171875,168.57000732421875,165.74000549316406,190000,165.74000549316406
2022-01-13,167.74000549316406,161.0399932861328,166.8300018310547,161.25,197000,161.25
2022-01-14,162.3300018310547,157.8800048828125,159.8300018310547,161.25,232100,161.25
2022-01-18,162.14999389648438,157.6199951171875,158.9499969482422,159.74000549316406,248900,159.74000549316406
2022-01-19,161.4499969482422,153.27000427246094,159.77000427246094,153.5800018310547,216400,153.5800018310547
2022-01-20,156.14999389648438,149.6699981689453,154.47000122070312,150.08999633789062,227500,150.08999633789062
2022-01-21,152.2899932861328,147.02000427246094,149.25999450683594,147.14999389648438,388300,147.14999389648438
2022-01-24,154.25999450683594,142.1199951171875,145.07000732421875,153.7899932861328,517700,153.7899932861328
2022-01-25,152.63999938964844,144.94000244140625,150.97999572753906,147.4499969482422,329500,147.4499969482422
2022-01-26,151.69000244140625,142.6199951171875,149.5,144.00999450683594,284100,144.00999450683594
2022-01-27,146.47000122070312,141.6199951171875,145.63999938964844,142.5800018310547,244900,142.5800018310547
2022-01-28,144.35000610351562,138.85000610351562,142.5800018310547,144.33999633789062,221900,144.33999633789062
2022-01-31,154.8300018310547,144.58999633789062,144.58999633789062,154.47000122070312,338400,154.47000122070312
2022-02-01,154.63999938964844,150.22000122070312,154.63999938964844,151.6699981689453,276900,151.6699981689453
2022-02-02,152.75999450683594,148.0800018310547,152.0,149.0,282400,149.0
2022-02-03,148.5500030517578,143.00999450683594,147.27000427246094,147.3800048828125,367600,147.3800048828125
2022-02-04,150.50999450683594,145.1199951171875,146.72999572753906,149.9499969482422,274800,149.9499969482422
2022-02-07,153.52000427246094,148.66000366210938,150.22999572753906,148.75,261900,148.75
2022-02-08,151.57000732421875,148.0399932861328,148.0399932861328,150.88999938964844,391400,150.88999938964844
2022-02-09,159.5500030517578,151.72000122070312,152.30999755859375,159.08999633789062,332200,159.08999633789062
2022-02-10,161.97000122070312,154.7899932861328,155.72000122070312,155.55999755859375,291900,155.55999755859375
2022-02-11,157.5,146.50999450683594,155.6199951171875,147.88999938964844,460600,147.88999938964844
2022-02-14,150.25999450683594,145.39999389648438,147.25,146.67999267578125,849200,146.67999267578125
2022-02-15,137.9199981689453,128.6999969482422,134.0,137.5500030517578,1086100,137.5500030517578
2022-02-16,142.57000732421875,136.82000732421875,138.42999267578125,140.64999389648438,642300,140.64999389648438
2022-02-17,139.6699981689453,136.5800018310547,138.60000610351562,138.3000030517578,307014,138.3000030517578
